Название,Цена,Описание,Расположение,Создано,Ссылка
Видеокарта gtx 1060 6gb palit dual,10500,"Продаю видеокарту, полностью исправна. Готова к продаже, свежая термопаста, почищена от пыли. Проходит все тесты без каких-либо проблем. Работает тихо, температуры не высокие. Проверка на месте, играми и программами.",Приморская,1 день назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_6gb_palit_dual_2437714121
Msi gtx 1060 3gb,10500,"Продам отличную видеокарту Msi gtx 1060 3gb. Полностью исправна, никогда не вскрывалась.",Звёздная,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1060_3gb_2478284098
Видеокарта gtx 1060 3gb palit dual,10900,"Продаю свою видеокарту палит 1060 на 3гб. В майнинге не участвовала. Стояла в офисном пк. Нет ни каких с ней проблем. Прочистил от пыли компрессором. Тянет многие игры: gta5, dota, cs и многие другие. Мощнее 1050ti на 40-60%. Тесты вам в помощь. Продаю так как купил 3070. Любые проверки на месте.",Ломоносовская,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_palit_dual_2434905546
Видеокарта GTX 1060 MSI Armor 3gb,10999,"Идеальное состояние. Коробка, документы, все заглушки на месте. Не греется выше 63 градусов, заводская пломба на месте. Любые тесты и проверки по желанию. Торга нет и не будет, цена крайняя.",р-н Красносельский,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_msi_armor_3gb_2448340571
Видеокарта GTX 1060 6GB Palit,10999,"Отличные, полностью рабочие видеокарты Gtx 1060 6GB Palit. Работаю без нареканий. В наличии несколько штук. Покажу рабоспособность при вас, так же дам время на проверку дома. Доставка по городу. Так же приму в зачёт цены или выкуплю ваши старые/новые рабочие и нерабочие компьютеры и компьютерные комплектующие с доплатой в обе стороны. Оплата только наличными, оплата картой обговаривается заранее. Авито доставкой не отправляю, доставка в другие города осуществляется по полной предоплате. В профиле есть другие комплектующие для сборки игрового или рабочего компьютера.",Комендантский проспект,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_6gb_palit_2435115266
Видеокарта Asus GTX 1060 3gb,11000,"Продаю свою б\у видеокарту на 3Гб. Не майнил, использовалась для игры в wow и Pubg. Куплена в 2018 году, в тогда еще существующем Юлмарте в Охта Молле. Скорее всего, нужна замена термопасты. Карточка в идеальном состоянии, не вскрывалась. Продаю в связи с заменой на 1660Ti 6GB.",Проспект Большевиков,9 часов назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_gtx_1060_3gb_2497989586
Видеокарта gtx 1060 6gb palit,11000,"Поменял на поновее. Не майнила, только игры. Менял термопасту. Брал в 2018.",Обухово,1 день назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_6gb_palit_2473519037
Видеокарта MSI gtx 1060 Armor 3gb,11000,"Не компания. Идеальное состояние, заводская пломба. Использовалась в домашних условиях. Покупалась новой. Чек есть.","пос. Шушары, территория Славянка, Колпинское ш., 40к1",4 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_gtx_1060_armor_3gb_2463794322
Видеокарта msi gtx 1060 3gb,11000,"Продаю свою видеокарту, так как купил новую. Видеокарта куплена в 2017 году, никогда не использовалась для майнинга, исключительно для видеоигр. Видеокарта не разбиралась, за 5 лет использования не было никаких проблем. Полное наименование модели: geforce® Gtx 1060 Gaming X 3G.",Проспект Большевиков,4 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_gtx_1060_3gb_2415752424
Видеокарта gtx 1060 6gb palit,11000,Карта в идеальном состоянии дам 3 дня на проверку. После майнинга.,Озерки,5 дней назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_6gb_palit_2444075915
Asus gtx 1060 3gb,11000,"Продаётся видеокарта Асус, белая, 3 GB. Особо не играю, Pubg и Gta 5, да и все. Надо бы термопасту поменять, никогда и не менял — но это ничего сложного. 15 минут и Ютуб в помощь. Проверки на месте у меня дома. Мне бы от 6 гигов и от 256 бит. Доплатил бы). Торг.",Академическая,5 дней назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1060_3gb_2343161066
Asus gtx 1060 3gb,11000,"Работает, все тянет, пломбы на месте, не копала. Возможны любые проверки.",Девяткино,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1060_3gb_2482708430
MSI GTX 1060 3GB,11000,Видеокарта Msi Armor Ocv1 1060 3Gb. Стояла в домашнем компе. Работает без проблем. Пломбы на месте.,Новочеркасская,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1060_3gb_2314644885
Gigabyte GTX 1060 3Gb,11000,"Стояла в домашнем пк, причина продажи -взял другую! Полностью в рабочем состоянии не гнали, не майнилась, паста менена.",Новочеркасская,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1060_3gb_2430387532
Gigabyte gtx 1060 3gb,11000,"Продаю в связи покупкой новой видеокарты, карта моя,1 владелец, никогда не майнил и не думал, только игры и фильмы! В хорошем состоянии, проблем ни разу не было, любые проверки!",Проспект Ветеранов,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1060_3gb_2413317650
Видеокарта gtx 1060 5gb,11000,"Gtx 1060 5 гигабайт. Видеокарта полностью обслужена. Термопрокладки и термопаста заменены (10.02.22). Вентиляторы не шумят. Температура в бублике 70-71 градус максимум. В автобернере ставим паверлимит на 90% и она вообще греться перестает. Комплект только карта. У меня проверить не получится, есть на то причины. По договоренности могу к Вам подъехать после работы если не далеко (Невский, Фрунзенский р-ны). Скинуть видео работы, онлайн показать работу или как еще того пожелаете.",Пролетарская,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_5gb_2371603231
